Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast
1,2,2,100,0.64372,2
1,2,1,62,1.6295,2
1,2,1,92.2,0.7031,1
1,2,2,76.4,1.5978,2
1,1,1,75.8,0.67178,1
1,2,2,89.7,0.67931,1
1,2,2,100,0.693,2
1,2,2,70.7,0.62206,3
1,1,1,70.7,0.86318,3
1,2,2,80.7,0.75056,1
1,1,1,79,0.65115,3
1,2,2,67.7,0.82746,1
1,1,1,69.6,0.81556,1
1,2,2,77.4,0.58486,3
1,1,2,78.4,0.64442,3
1,1,1,76.8,1.3094,1
1,1,1,82,0.80995,2
1,2,1,95.7,0.98188,2
1,1,1,89.5,0.66336,3
1,2,2,79.8,0.75345,3
1,1,2,92.6,0.6048,2
1,1,2,62.8,0.74409,2
1,1,2,63.1,0.69177,1
1,1,1,87.4,0.64239,2
1,2,2,75.4,0.68335,1
1,2,2,79.2,0.61154,2
1,1,1,68.5,0.87691,3
1,2,2,87.2,0.84489,3
1,1,1,73,0.82103,2
1,2,2,69.5,0.93531,3
1,2,2,74.4,0.66776,3
1,1,2,84.4,0.53352,2
1,1,1,89.1,0.67553,3
1,1,2,74,0.65787,3
1,1,1,78.1,0.73043,3
1,1,2,63.6,1.0156,3
1,2,2,79.1,0.79394,3
1,1,1,66.9,0.82004,1
1,1,1,71.5,0.89588,2
1,2,2,56.6,1.4458,3
1,1,1,85.4,0.8218,3
1,1,1,80.5,0.78194,3
1,2,1,63.4,0.91937,2
1,1,2,61.4,1.0291,2
1,2,2,71.1,0.61463,2
1,1,1,68.1,0.6653,3
1,2,1,67.5,0.60917,2
1,2,2,75.9,0.66831,3
1,2,1,70.6,0.97139,3
1,2,2,69.6,0.67826,1
1,1,1,66.7,0.59955,1
1,1,1,66.6,0.63498,2
1,2,1,66.6,0.60258,1
1,1,2,60.5,0.98875,2
1,2,2,73.7,0.62267,1
1,2,1,69.7,1.3931,1
1,2,1,61.1,1.1241,1
1,2,2,64.8,0.91405,3
1,2,2,73,0.74298,3
1,1,1,63.2,0.71509,2
1,1,1,63.4,0.77911,3
1,2,2,87,0.81422,3
1,1,1,61.6,0.64039,1
1,2,1,72.3,1.2501,2
1,2,2,100,1.6494,3
1,2,2,71.2,0.59431,1
1,2,2,70.4,0.62877,3
1,1,1,65.3,1.1504,3
1,1,1,77.8,0.78758,3
1,2,2,81.6,0.59072,2
1,1,2,91.4,0.63994,2
1,1,1,95.7,0.85035,1
1,1,2,70.8,0.82618,1
1,1,2,64,0.88384,3
1,1,1,61.8,0.72371,3
1,1,2,69,0.68138,2
1,2,2,70.5,0.68031,2
1,2,2,67.7,0.77631,2
1,1,1,60.8,0.99611,1
1,1,1,61.2,0.74191,1
1,2,1,59.4,0.7949,1
1,1,1,77.8,0.95784,3
1,1,1,72.2,1.0337,1
1,1,2,75.4,1.0761,1
1,2,1,60.7,0.70715,1
1,1,1,72.1,0.69019,2
1,1,1,82.7,0.74418,1
1,1,1,67.7,0.76453,3
1,2,2,86.8,0.70541,3
1,2,2,71.3,0.61557,3
1,1,2,71.3,0.93046,1
1,2,1,70.3,0.68558,2
1,1,1,65.1,0.52583,3
1,1,1,97.4,0.70834,3
1,1,1,71.6,0.54645,3
1,2,2,92.2,0.47988,2
1,2,2,100,0.55957,3
1,2,1,83,0.55515,2
1,1,1,85.9,0.74439,2
1,2,2,79.3,0.62963,3
1,1,2,70.9,0.81603,2
1,2,2,75,0.54456,2
1,1,1,78.4,0.73451,1
1,1,2,68,0.69207,2
1,2,2,75.3,0.54749,3
1,1,2,86.4,0.53595,1
1,2,2,79.3,0.59654,3
1,1,1,68.3,0.71945,2
1,1,1,83.5,0.57238,2
1,2,2,81.4,0.58551,3
1,1,1,65.5,0.74862,2
1,1,2,70.3,0.76955,2
1,1,1,80.6,0.57352,3
1,2,2,91.4,0.49691,3
1,1,2,66.4,0.78413,3
1,1,2,77.1,0.68474,2
1,1,1,79.8,0.66886,3
1,1,2,74.6,0.74865,1
1,1,2,57.5,1.3679,2
1,2,2,69.4,0.69989,2
1,1,1,64.5,0.61129,1
1,1,2,67.7,0.63741,1
1,2,2,81.9,0.76564,3
1,1,1,74.2,0.57898,3
1,1,2,84.4,0.59813,1
1,2,2,76.2,1.1694,2
1,2,1,73.6,0.63604,2
1,1,1,74.3,0.69357,1
1,2,2,73.4,0.65274,1
1,2,2,63.5,0.9248,2
1,1,1,55.5,1.226,2
1,2,2,86.8,0.81134,3
1,1,1,56.5,1.302,2
1,2,2,67.5,0.97103,2
1,2,2,84.1,0.66325,2
1,1,1,62.3,0.91956,1
1,2,2,81.1,0.97336,1
1,1,1,70.4,0.77661,1
1,2,2,75.2,0.64282,1
1,2,2,86.5,0.81232,3
1,2,2,81.3,0.65555,3
1,2,2,82.2,0.73476,1
1,1,1,60.6,0.81035,3
1,2,2,74.1,0.61136,1
1,1,2,72.9,0.53467,1
1,1,1,74.2,0.6761,3
1,1,2,74.6,0.57918,3
1,2,2,70.5,0.58372,2
1,1,1,77.5,0.60295,1
1,1,1,76.6,0.79079,3
1,2,2,68.5,0.6817,2
1,1,1,73.7,0.97743,2
1,2,2,60.3,0.65246,3
1,2,2,61.6,0.69972,1
1,1,1,69.1,0.54688,3
1,2,2,84.2,0.55216,3
1,2,2,69.2,0.54902,2
1,2,2,74.9,0.71608,2
1,2,2,82.5,0.56792,1
1,2,2,80.4,0.58867,1
1,2,1,67.4,0.91144,2
1,1,1,61.7,1.0862,1
1,2,2,91.2,0.69228,2
1,1,1,73.8,0.6267,1
1,2,2,84.7,0.69259,3
1,1,2,65.1,0.7572,3
1,2,2,81.2,0.51201,2
1,2,2,89.4,0.63064,3
1,2,1,68.7,0.8728,1
1,2,2,89.4,0.70485,3
1,1,1,64.6,0.70222,2
1,1,1,84.8,0.685,2
1,1,1,93.5,0.81319,3
1,2,2,75.5,0.59073,2
1,2,2,68.1,0.96143,2
1,1,1,77.9,0.61471,3
1,2,2,87.7,0.51956,3
1,1,1,70.6,0.92523,2
1,1,1,78.6,0.73133,1
1,1,1,72,0.64846,2
1,2,2,84,0.60218,2
1,2,1,70.1,0.6198,1
1,1,1,64.3,0.74983,1
1,1,2,98.8,0.7635,1
1,1,2,53.3,1.8642,2
1,2,1,54.6,0.62847,1
1,1,1,66,0.85602,3
1,1,1,70.6,0.76721,3
1,1,2,75.4,1.2199,3
1,2,2,68.4,0.79075,1
1,2,2,61.2,0.67185,2
1,1,1,63.3,0.75178,1
1,2,2,75,0.89024,3
1,1,1,70.7,0.69788,2
1,2,2,70,0.48871,2
1,1,2,77.8,0.59922,1
1,1,1,54.4,1.1867,1
1,1,2,67.9,1.0122,2
1,2,2,66.4,0.65556,3
1,1,2,62.8,1.4069,1
1,2,2,73.9,1.2491,1
1,2,2,58.1,1.4415,1
1,2,2,79.3,0.64828,2
1,1,1,53,1.5692,1
1,1,2,68.3,0.68612,1
